,Lat,Lon,Ele,YR--MODAHRMN,DIR,SPD,GUS,TEMP,ALT
0,60.514,22.263,49.1,195201010000,230,21,***,39,*****
1,60.514,22.263,49.1,195201011200,250,16,***,39,*****
2,60.514,22.263,49.1,195201011800,230,14,***,36,*****
3,60.514,22.263,49.1,195201020000,270,13,***,36,*****
4,60.514,22.263,49.1,195201020600,200,7,***,36,*****
5,60.514,22.263,49.1,195201021200,090,16,***,34,*****
6,60.514,22.263,49.1,195201021800,070,11,***,32,*****
7,60.514,22.263,49.1,195201030000,320,7,***,30,*****
8,60.514,22.263,49.1,195201030600,250,5,***,27,*****
9,60.514,22.263,49.1,195201031200,250,7,***,30,*****
10,60.514,22.263,49.1,195201031800,290,11,***,32,*****
11,60.514,22.263,49.1,195201040600,270,11,***,30,*****
12,60.514,22.263,49.1,195201041200,250,9,***,30,*****
13,60.514,22.263,49.1,195201041800,250,7,***,28,*****
14,60.514,22.263,49.1,195201050600,120,5,***,25,*****
15,60.514,22.263,49.1,195201051200,040,7,***,27,*****
16,60.514,22.263,49.1,195201051800,360,7,***,25,*****
17,60.514,22.263,49.1,195201060000,320,5,***,21,*****
18,60.514,22.263,49.1,195201060600,140,5,***,18,*****
19,60.514,22.263,49.1,195201061200,230,14,***,32,*****
20,60.514,22.263,49.1,195201061800,230,11,***,34,*****
21,60.514,22.263,49.1,195201070000,240,11,***,37,*****
22,60.514,22.263,49.1,195201070600,220,11,***,39,*****
23,60.514,22.263,49.1,195201071200,250,5,***,41,*****
24,60.514,22.263,49.1,195201071800,320,14,***,41,*****
25,60.514,22.263,49.1,195201080000,300,16,***,36,*****
26,60.514,22.263,49.1,195201080600,230,11,***,36,*****
27,60.514,22.263,49.1,195201081200,250,9,***,36,*****
28,60.514,22.263,49.1,195201081800,210,9,***,36,*****
29,60.514,22.263,49.1,195201090000,210,11,***,37,*****
30,60.514,22.263,49.1,195201090600,210,16,***,39,*****
31,60.514,22.263,49.1,195201091200,220,23,***,41,*****
32,60.514,22.263,49.1,195201091800,200,16,***,39,*****
33,60.514,22.263,49.1,195201100600,220,25,***,37,*****
34,60.514,22.263,49.1,195201101200,200,9,***,34,*****
35,60.514,22.263,49.1,195201101800,180,7,***,32,*****
36,60.514,22.263,49.1,195201110000,180,7,***,34,*****
37,60.514,22.263,49.1,195201110600,160,9,***,32,*****
38,60.514,22.263,49.1,195201111200,140,18,***,34,*****
39,60.514,22.263,49.1,195201111800,130,11,***,34,*****
40,60.514,22.263,49.1,195201120000,060,11,***,30,*****
41,60.514,22.263,49.1,195201120600,030,11,***,30,*****
42,60.514,22.263,49.1,195201121200,260,14,***,28,*****
43,60.514,22.263,49.1,195201121800,350,14,***,28,*****
44,60.514,22.263,49.1,195201130000,320,11,***,25,*****
45,60.514,22.263,49.1,195201130600,340,11,***,28,*****
46,60.514,22.263,49.1,195201131200,320,9,***,30,*****
47,60.514,22.263,49.1,195201131800,310,7,***,25,*****
48,60.514,22.263,49.1,195201140000,270,9,***,19,*****
49,60.514,22.263,49.1,195201140600,320,5,***,23,*****
50,60.514,22.263,49.1,195201141200,110,5,***,27,*****
51,60.514,22.263,49.1,195201141800,120,9,***,27,*****
52,60.514,22.263,49.1,195201150000,120,7,***,30,*****
53,60.514,22.263,49.1,195201150600,180,7,***,32,*****
54,60.514,22.263,49.1,195201151200,180,11,***,34,*****
55,60.514,22.263,49.1,195201151800,160,16,***,32,*****
56,60.514,22.263,49.1,195201160000,200,23,***,39,*****
57,60.514,22.263,49.1,195201160600,250,14,***,34,*****
58,60.514,22.263,49.1,195201161200,290,18,***,34,*****
59,60.514,22.263,49.1,195201161800,300,21,***,30,*****
60,60.514,22.263,49.1,195201170000,300,14,***,32,*****
61,60.514,22.263,49.1,195201170600,240,9,***,32,*****
62,60.514,22.263,49.1,195201171200,250,7,***,32,*****
63,60.514,22.263,49.1,195201171800,180,5,***,23,*****
64,60.514,22.263,49.1,195201180000,140,5,***,28,*****
65,60.514,22.263,49.1,195201180600,100,7,***,28,*****
66,60.514,22.263,49.1,195201181200,090,9,***,30,*****
67,60.514,22.263,49.1,195201181800,070,14,***,28,*****
68,60.514,22.263,49.1,195201190000,070,14,***,28,*****
69,60.514,22.263,49.1,195201190600,090,14,***,****,*****
70,60.514,22.263,49.1,195201191200,070,9,***,30,*****
71,60.514,22.263,49.1,195201191800,070,11,***,28,*****
72,60.514,22.263,49.1,195201200600,040,14,***,25,*****
73,60.514,22.263,49.1,195201201200,020,11,***,21,*****
74,60.514,22.263,49.1,195201201800,020,9,***,19,*****
75,60.514,22.263,49.1,195201211200,360,5,***,18,*****
76,60.514,22.263,49.1,195201211800,020,5,***,10,*****
77,60.514,22.263,49.1,195201220000,070,5,***,12,*****
78,60.514,22.263,49.1,195201220600,250,2,***,7,*****
79,60.514,22.263,49.1,195201221200,270,9,***,28,*****
80,60.514,22.263,49.1,195201221800,250,9,***,25,*****
81,60.514,22.263,49.1,195201230000,270,9,***,19,*****
82,60.514,22.263,49.1,195201230600,250,5,***,25,*****
83,60.514,22.263,49.1,195201231200,240,11,***,25,*****
84,60.514,22.263,49.1,195201231800,230,11,***,25,*****
85,60.514,22.263,49.1,195201240000,250,16,***,27,*****
86,60.514,22.263,49.1,195201241800,230,11,***,27,*****
87,60.514,22.263,49.1,195201250600,160,7,***,32,*****
88,60.514,22.263,49.1,195201251200,170,9,***,30,*****
89,60.514,22.263,49.1,195201251800,180,5,***,28,*****
90,60.514,22.263,49.1,195201260000,160,5,***,30,*****
91,60.514,22.263,49.1,195201260600,140,7,***,30,*****
92,60.514,22.263,49.1,195201261200,120,7,***,30,*****
93,60.514,22.263,49.1,195201261800,130,5,***,30,*****
94,60.514,22.263,49.1,195201270600,110,11,***,30,*****
95,60.514,22.263,49.1,195201271200,090,7,***,30,*****
96,60.514,22.263,49.1,195201271800,090,9,***,25,*****
97,60.514,22.263,49.1,195201280000,090,7,***,23,*****
98,60.514,22.263,49.1,195201280600,040,7,***,21,*****
99,60.514,22.263,49.1,195201281200,090,2,***,18,*****
100,60.514,22.263,49.1,195201281800,020,2,***,19,*****
101,60.514,22.263,49.1,195201290000,230,5,***,21,*****
102,60.514,22.263,49.1,195201290600,320,7,***,21,*****
103,60.514,22.263,49.1,195201291200,320,9,***,25,*****
104,60.514,22.263,49.1,195201291800,290,5,***,25,*****
105,60.514,22.263,49.1,195201300000,270,5,***,27,*****
106,60.514,22.263,49.1,195201300600,250,5,***,25,*****
107,60.514,22.263,49.1,195201301200,230,7,***,23,*****
108,60.514,22.263,49.1,195201301800,040,9,***,****,*****
109,60.514,22.263,49.1,195201311200,090,2,***,28,*****
110,60.514,22.263,49.1,195201311800,130,9,***,30,*****
111,60.514,22.263,49.1,195202010000,160,11,***,32,*****
112,60.514,22.263,49.1,195202010600,160,11,***,32,*****
113,60.514,22.263,49.1,195202011200,140,14,***,28,*****
114,60.514,22.263,49.1,195202011800,210,18,***,28,*****
115,60.514,22.263,49.1,195202020000,140,14,***,32,*****
116,60.514,22.263,49.1,195202020600,140,8,***,34,*****
117,60.514,22.263,49.1,195202021200,160,11,***,34,*****
118,60.514,22.263,49.1,195202021800,140,9,***,34,*****
119,60.514,22.263,49.1,195202030000,160,9,***,30,*****
120,60.514,22.263,49.1,195202031200,140,7,***,32,*****
121,60.514,22.263,49.1,195202040600,090,2,***,27,*****
122,60.514,22.263,49.1,195202041200,130,2,***,28,*****
123,60.514,22.263,49.1,195202041800,140,2,***,28,*****
124,60.514,22.263,49.1,195202050000,110,5,***,27,*****
125,60.514,22.263,49.1,195202050600,160,2,***,27,*****
126,60.514,22.263,49.1,195202051200,360,2,***,28,*****
127,60.514,22.263,49.1,195202051800,350,2,***,28,*****
128,60.514,22.263,49.1,195202060000,360,7,***,27,*****
129,60.514,22.263,49.1,195202060600,***,0,***,27,*****
130,60.514,22.263,49.1,195202061200,200,11,***,30,*****
131,60.514,22.263,49.1,195202070000,160,11,***,32,*****
132,60.514,22.263,49.1,195202070600,230,9,***,34,*****
133,60.514,22.263,49.1,195202071200,230,11,***,34,*****
134,60.514,22.263,49.1,195202071800,230,17,***,36,*****
135,60.514,22.263,49.1,195202080000,160,5,***,30,*****
136,60.514,22.263,49.1,195202080600,140,7,***,32,*****
137,60.514,22.263,49.1,195202081200,160,5,***,34,*****
138,60.514,22.263,49.1,195202081800,160,2,***,32,*****
139,60.514,22.263,49.1,195202090000,340,5,***,30,*****
140,60.514,22.263,49.1,195202090600,360,7,***,14,*****
141,60.514,22.263,49.1,195202091200,360,7,***,21,*****
142,60.514,22.263,49.1,195202091800,360,5,***,25,*****
143,60.514,22.263,49.1,195202100000,180,2,***,27,*****
144,60.514,22.263,49.1,195202100600,180,2,***,25,*****
145,60.514,22.263,49.1,195202101200,220,7,***,30,*****
146,60.514,22.263,49.1,195202101800,230,7,***,27,*****
147,60.514,22.263,49.1,195202110000,280,3,***,27,*****
148,60.514,22.263,49.1,195202110600,110,2,***,27,*****
149,60.514,22.263,49.1,195202111200,140,7,***,28,*****
150,60.514,22.263,49.1,195202111800,120,9,***,27,*****
151,60.514,22.263,49.1,195202120000,070,7,***,25,*****
152,60.514,22.263,49.1,195202120600,020,9,***,19,*****
153,60.514,22.263,49.1,195202121200,360,9,***,23,*****
154,60.514,22.263,49.1,195202121800,320,9,***,14,*****
155,60.514,22.263,49.1,195202130000,330,7,***,19,*****
156,60.514,22.263,49.1,195202130600,***,0,***,16,*****
157,60.514,22.263,49.1,195202131800,140,2,***,16,*****
158,60.514,22.263,49.1,195202140600,040,2,***,3,*****
159,60.514,22.263,49.1,195202141200,***,0,***,14,*****
160,60.514,22.263,49.1,195202141800,120,5,***,5,*****
161,60.514,22.263,49.1,195202150000,140,5,***,7,*****
162,60.514,22.263,49.1,195202150600,160,11,***,30,*****
163,60.514,22.263,49.1,195202151200,140,11,***,27,*****
164,60.514,22.263,49.1,195202151800,140,9,***,21,*****
165,60.514,22.263,49.1,195202160000,140,7,***,21,*****
166,60.514,22.263,49.1,195202160600,150,14,***,25,*****
167,60.514,22.263,49.1,195202161200,160,16,***,32,*****
168,60.514,22.263,49.1,195202161800,160,16,***,34,*****
169,60.514,22.263,49.1,195202170000,160,14,***,32,*****
170,60.514,22.263,49.1,195202170600,140,9,***,32,*****
171,60.514,22.263,49.1,195202171200,290,22,***,32,*****
172,60.514,22.263,49.1,195202171800,250,2,***,30,*****
173,60.514,22.263,49.1,195202180000,***,0,***,****,*****
174,60.514,22.263,49.1,195202180600,140,5,***,25,*****
175,60.514,22.263,49.1,195202181200,***,0,***,28,*****
176,60.514,22.263,49.1,195202181800,180,5,***,27,*****
177,60.514,22.263,49.1,195202190600,120,9,***,27,*****
178,60.514,22.263,49.1,195202191200,130,11,***,28,*****
179,60.514,22.263,49.1,195202191800,140,9,***,27,*****
180,60.514,22.263,49.1,195202200000,140,5,***,27,*****
181,60.514,22.263,49.1,195202200600,220,11,***,28,*****
182,60.514,22.263,49.1,195202201200,180,11,***,32,*****
183,60.514,22.263,49.1,195202201800,280,16,***,32,*****
184,60.514,22.263,49.1,195202210000,200,18,***,34,*****
185,60.514,22.263,49.1,195202210600,230,7,***,34,*****
186,60.514,22.263,49.1,195202211200,320,7,***,34,*****
187,60.514,22.263,49.1,195202211800,280,14,***,30,*****
188,60.514,22.263,49.1,195202220000,320,5,***,27,*****
189,60.514,22.263,49.1,195202220600,360,5,***,23,*****
190,60.514,22.263,49.1,195202221200,320,7,***,28,*****
191,60.514,22.263,49.1,195202221800,360,2,***,27,*****
