,Lat,Lon,Ele,YR--MODAHRMN,DIR,SPD,GUS,TEMP,ALT
0,60.717,28.733,13.0,196601010000,***,0,***,-13,*****
1,60.717,28.733,13.0,196601010300,***,0,***,-17,*****
2,60.717,28.733,13.0,196601010600,***,0,***,-18,*****
3,60.717,28.733,13.0,196601010900,***,0,***,-20,*****
4,60.717,28.733,13.0,196601011200,***,0,***,-11,*****
5,60.717,28.733,13.0,196601011500,***,0,***,-15,*****
6,60.717,28.733,13.0,196601011800,***,0,***,-13,*****
7,60.717,28.733,13.0,196601012100,***,0,***,-13,*****
8,60.717,28.733,13.0,196601020000,***,0,***,-6,*****
9,60.717,28.733,13.0,196601020300,***,0,***,-8,*****
10,60.717,28.733,13.0,196601020600,090,2,***,3,*****
11,60.717,28.733,13.0,196601020900,090,2,***,7,*****
12,60.717,28.733,13.0,196601021200,070,9,***,12,*****
13,60.717,28.733,13.0,196601021500,090,11,***,14,*****
14,60.717,28.733,13.0,196601021800,090,19,***,9,*****
15,60.717,28.733,13.0,196601022100,050,22,***,19,*****
16,60.717,28.733,13.0,196601030000,050,19,***,12,*****
17,60.717,28.733,13.0,196601030300,050,11,***,10,*****
18,60.717,28.733,13.0,196601030600,050,19,***,10,*****
19,60.717,28.733,13.0,196601030900,050,18,***,10,*****
20,60.717,28.733,13.0,196601031200,360,11,***,10,*****
21,60.717,28.733,13.0,196601031500,050,11,***,9,*****
22,60.717,28.733,13.0,196601031800,020,11,***,5,*****
23,60.717,28.733,13.0,196601032100,020,16,***,7,*****
24,60.717,28.733,13.0,196601040000,360,16,***,5,*****
25,60.717,28.733,13.0,196601040300,360,14,***,3,*****
26,60.717,28.733,13.0,196601040600,360,14,***,3,*****
27,60.717,28.733,13.0,196601040900,050,16,***,3,*****
28,60.717,28.733,13.0,196601041200,360,11,***,3,*****
29,60.717,28.733,13.0,196601041500,020,11,***,1,*****
30,60.717,28.733,13.0,196601041800,360,11,***,-2,*****
31,60.717,28.733,13.0,196601042100,020,11,***,-4,*****
32,60.717,28.733,13.0,196601050000,360,9,***,-8,*****
33,60.717,28.733,13.0,196601050300,360,2,***,-9,*****
34,60.717,28.733,13.0,196601050600,360,2,***,-11,*****
35,60.717,28.733,13.0,196601050900,***,0,***,-13,*****
36,60.717,28.733,13.0,196601051200,***,0,***,-8,*****
37,60.717,28.733,13.0,196601051500,***,0,***,-11,*****
38,60.717,28.733,13.0,196601051800,360,2,***,-6,*****
39,60.717,28.733,13.0,196601052100,340,2,***,-4,*****
40,60.717,28.733,13.0,196601060000,360,2,***,0,*****
41,60.717,28.733,13.0,196601060300,020,2,***,-2,*****
42,60.717,28.733,13.0,196601060600,***,0,***,-8,*****
43,60.717,28.733,13.0,196601060900,050,2,***,-11,*****
44,60.717,28.733,13.0,196601061200,050,2,***,0,*****
45,60.717,28.733,13.0,196601061500,050,2,***,-6,*****
46,60.717,28.733,13.0,196601061800,360,2,***,-11,*****
47,60.717,28.733,13.0,196601062100,***,0,***,-4,*****
48,60.717,28.733,13.0,196601070000,050,2,***,-2,*****
49,60.717,28.733,13.0,196601070300,050,5,***,-4,*****
50,60.717,28.733,13.0,196601070600,050,5,***,-4,*****
51,60.717,28.733,13.0,196601070900,***,0,***,-4,*****
52,60.717,28.733,13.0,196601071200,***,0,***,3,*****
53,60.717,28.733,13.0,196601071500,090,5,***,0,*****
54,60.717,28.733,13.0,196601071800,090,5,***,3,*****
55,60.717,28.733,13.0,196601072100,050,2,***,7,*****
56,60.717,28.733,13.0,196601080000,050,2,***,10,*****
57,60.717,28.733,13.0,196601080300,050,2,***,14,*****
58,60.717,28.733,13.0,196601080600,070,11,***,12,*****
59,60.717,28.733,13.0,196601080900,090,5,***,14,*****
60,60.717,28.733,13.0,196601081200,050,5,***,14,*****
61,60.717,28.733,13.0,196601081500,050,5,***,12,*****
62,60.717,28.733,13.0,196601081800,090,5,***,12,*****
63,60.717,28.733,13.0,196601082100,070,2,***,10,*****
64,60.717,28.733,13.0,196601090000,070,2,***,12,*****
65,60.717,28.733,13.0,196601090300,090,9,***,14,*****
66,60.717,28.733,13.0,196601090600,090,9,***,14,*****
67,60.717,28.733,13.0,196601090900,090,7,***,14,*****
68,60.717,28.733,13.0,196601091200,090,7,***,14,*****
69,60.717,28.733,13.0,196601091500,090,5,***,14,*****
70,60.717,28.733,13.0,196601091800,090,2,***,12,*****
71,60.717,28.733,13.0,196601092100,090,2,***,9,*****
72,60.717,28.733,13.0,196601100000,090,5,***,7,*****
73,60.717,28.733,13.0,196601100300,090,2,***,5,*****
74,60.717,28.733,13.0,196601100600,090,2,***,1,*****
75,60.717,28.733,13.0,196601100900,070,2,***,1,*****
76,60.717,28.733,13.0,196601101200,090,2,***,3,*****
77,60.717,28.733,13.0,196601101500,090,2,***,1,*****
78,60.717,28.733,13.0,196601101800,090,2,***,-2,*****
79,60.717,28.733,13.0,196601102100,090,2,***,-4,*****
80,60.717,28.733,13.0,196601110000,090,2,***,-8,*****
81,60.717,28.733,13.0,196601110300,050,2,***,-8,*****
