,Lat,Lon,Ele,YR--MODAHRMN,DIR,SPD,GUS,TEMP,ALT
0,60.255,25.043,17.4,191901010600,230,2,***,13,*****
1,60.255,25.043,17.4,191901011300,***,0,***,10,*****
2,60.255,25.043,17.4,191901012000,360,5,***,5,*****
3,60.255,25.043,17.4,191901020600,320,5,***,18,*****
4,60.255,25.043,17.4,191901021300,320,5,***,23,*****
5,60.255,25.043,17.4,191901022000,320,2,***,22,*****
6,60.255,25.043,17.4,191901030600,320,5,***,20,*****
7,60.255,25.043,17.4,191901031300,070,2,***,23,*****
8,60.255,25.043,17.4,191901032000,090,16,***,26,*****
9,60.255,25.043,17.4,191901040600,090,9,***,27,*****
10,60.255,25.043,17.4,191901041300,050,9,***,30,*****
11,60.255,25.043,17.4,191901042000,090,9,***,32,*****
12,60.255,25.043,17.4,191901050600,070,14,***,34,*****
13,60.255,25.043,17.4,191901051300,140,11,***,35,*****
14,60.255,25.043,17.4,191901052000,140,9,***,35,*****
15,60.255,25.043,17.4,191901060600,140,9,***,35,*****
16,60.255,25.043,17.4,191901061300,230,11,***,37,*****
17,60.255,25.043,17.4,191901062000,180,7,***,36,*****
18,60.255,25.043,17.4,191901070600,160,9,***,36,*****
19,60.255,25.043,17.4,191901071300,230,9,***,37,*****
20,60.255,25.043,17.4,191901072000,180,5,***,36,*****
21,60.255,25.043,17.4,191901080600,230,2,***,36,*****
22,60.255,25.043,17.4,191901081300,070,2,***,35,*****
23,60.255,25.043,17.4,191901082000,090,7,***,34,*****
24,60.255,25.043,17.4,191901090600,070,9,***,33,*****
25,60.255,25.043,17.4,191901091300,140,9,***,32,*****
26,60.255,25.043,17.4,191901092000,140,5,***,33,*****
27,60.255,25.043,17.4,191901100600,140,5,***,33,*****
28,60.255,25.043,17.4,191901101300,090,5,***,31,*****
29,60.255,25.043,17.4,191901102000,050,5,***,31,*****
30,60.255,25.043,17.4,191901110600,***,0,***,29,*****
31,60.255,25.043,17.4,191901111300,270,5,***,29,*****
32,60.255,25.043,17.4,191901112000,***,0,***,31,*****
33,60.255,25.043,17.4,191901120600,180,5,***,33,*****
34,60.255,25.043,17.4,191901121300,180,5,***,33,*****
35,60.255,25.043,17.4,191901122000,140,9,***,31,*****
36,60.255,25.043,17.4,191901130600,070,18,***,29,*****
37,60.255,25.043,17.4,191901131300,140,11,***,27,*****
38,60.255,25.043,17.4,191901132000,090,11,***,25,*****
39,60.255,25.043,17.4,191901140600,090,7,***,23,*****
40,60.255,25.043,17.4,191901141300,140,5,***,23,*****
41,60.255,25.043,17.4,191901142000,050,5,***,22,*****
42,60.255,25.043,17.4,191901150600,050,5,***,23,*****
43,60.255,25.043,17.4,191901151300,230,7,***,28,*****
44,60.255,25.043,17.4,191901152000,180,11,***,29,*****
45,60.255,25.043,17.4,191901160600,180,16,***,29,*****
46,60.255,25.043,17.4,191901161300,180,14,***,31,*****
47,60.255,25.043,17.4,191901162000,090,14,***,32,*****
48,60.255,25.043,17.4,191901170600,230,19,***,36,*****
49,60.255,25.043,17.4,191901171300,230,18,***,38,*****
50,60.255,25.043,17.4,191901172000,230,9,***,37,*****
