,Lat,Lon,Ele,YR--MODAHRMN,DIR,SPD,GUS,TEMP,ALT
0,60.817,23.5,103.0,195901011200,120,18,***,32,*****
1,60.817,23.5,103.0,195901011500,140,8,***,32,*****
2,60.817,23.5,103.0,195901011800,190,7,***,32,*****
3,60.817,23.5,103.0,195901012100,220,2,***,32,*****
4,60.817,23.5,103.0,195901020000,260,1,***,32,*****
5,60.817,23.5,103.0,195901020300,290,5,***,30,*****
6,60.817,23.5,103.0,195901020600,280,5,***,32,*****
7,60.817,23.5,103.0,195901020900,240,6,***,30,*****
8,60.817,23.5,103.0,195901021200,230,5,***,30,*****
9,60.817,23.5,103.0,195901021500,160,8,***,28,*****
10,60.817,23.5,103.0,195901022100,120,13,***,32,*****
11,60.817,23.5,103.0,195901030000,170,13,***,32,*****
12,60.817,23.5,103.0,195901030300,120,9,***,32,*****
13,60.817,23.5,103.0,195901040600,160,14,***,34,*****
14,60.817,23.5,103.0,195901040900,160,14,***,34,*****
15,60.817,23.5,103.0,195901041800,180,14,***,34,*****
16,60.817,23.5,103.0,195901050000,160,9,***,32,*****
17,60.817,23.5,103.0,195901050300,160,3,***,32,*****
18,60.817,23.5,103.0,195901050600,120,10,***,30,*****
19,60.817,23.5,103.0,195901050900,080,7,***,30,*****
20,60.817,23.5,103.0,195901051200,360,8,***,28,*****
21,60.817,23.5,103.0,195901051500,340,9,***,28,*****
22,60.817,23.5,103.0,195901051800,270,8,***,27,*****
23,60.817,23.5,103.0,195901052100,230,5,***,27,*****
24,60.817,23.5,103.0,195901060000,230,13,***,28,*****
25,60.817,23.5,103.0,195901060300,190,8,***,23,*****
26,60.817,23.5,103.0,195901060600,140,11,***,27,*****
27,60.817,23.5,103.0,195901060900,150,14,***,28,*****
28,60.817,23.5,103.0,195901061500,160,3,***,30,*****
29,60.817,23.5,103.0,195901062100,150,7,***,27,*****
30,60.817,23.5,103.0,195901070000,160,6,***,27,*****
31,60.817,23.5,103.0,195901071200,230,10,***,25,*****
32,60.817,23.5,103.0,195901071500,180,9,***,25,*****
33,60.817,23.5,103.0,195901080300,230,6,***,25,*****
34,60.817,23.5,103.0,195901081200,***,0,***,21,*****
35,60.817,23.5,103.0,195901081800,060,6,***,21,*****
36,60.817,23.5,103.0,195901090900,040,9,***,23,*****
37,60.817,23.5,103.0,195901091200,070,6,***,25,*****
38,60.817,23.5,103.0,195901091800,080,9,***,28,*****
39,60.817,23.5,103.0,195901092100,090,15,***,32,*****
40,60.817,23.5,103.0,195901100000,120,15,***,32,*****
41,60.817,23.5,103.0,195901100300,130,15,***,30,*****
42,60.817,23.5,103.0,195901100600,130,15,***,30,*****
43,60.817,23.5,103.0,195901100900,100,15,***,30,*****
44,60.817,23.5,103.0,195901101200,090,21,***,30,*****
45,60.817,23.5,103.0,195901101800,080,23,***,30,*****
46,60.817,23.5,103.0,195901110000,100,22,***,30,*****
47,60.817,23.5,103.0,195901120000,150,6,***,28,*****
48,60.817,23.5,103.0,195901120300,160,7,***,27,*****
49,60.817,23.5,103.0,195901121500,030,16,***,23,*****
50,60.817,23.5,103.0,195901121800,030,17,***,23,*****
51,60.817,23.5,103.0,195901130600,080,14,***,21,*****
52,60.817,23.5,103.0,195901130900,090,13,***,23,*****
53,60.817,23.5,103.0,195901131500,120,10,***,23,*****
54,60.817,23.5,103.0,195901132100,130,21,***,25,*****
55,60.817,23.5,103.0,195901140000,130,17,***,25,*****
56,60.817,23.5,103.0,195901140300,120,15,***,25,*****
57,60.817,23.5,103.0,195901140600,100,14,***,23,*****
58,60.817,23.5,103.0,195901140900,100,11,***,23,*****
59,60.817,23.5,103.0,195901141200,060,9,***,21,*****
60,60.817,23.5,103.0,195901141500,030,9,***,19,*****
61,60.817,23.5,103.0,195901141800,340,5,***,12,*****
62,60.817,23.5,103.0,195901150000,330,6,***,-2,*****
63,60.817,23.5,103.0,195901150300,330,5,***,3,*****
64,60.817,23.5,103.0,195901150600,330,3,***,9,*****
65,60.817,23.5,103.0,195901150900,330,2,***,10,*****
66,60.817,23.5,103.0,195901152100,240,2,***,-2,*****
67,60.817,23.5,103.0,195901160300,***,0,***,-8,*****
68,60.817,23.5,103.0,195901161500,230,3,***,-6,*****
69,60.817,23.5,103.0,195901161800,240,5,***,0,*****
70,60.817,23.5,103.0,195901170300,250,2,***,9,*****
71,60.817,23.5,103.0,195901170900,310,6,***,5,*****
72,60.817,23.5,103.0,195901171200,300,5,***,3,*****
73,60.817,23.5,103.0,195901171500,290,5,***,-2,*****
74,60.817,23.5,103.0,195901171800,300,2,***,-9,*****
75,60.817,23.5,103.0,195901172100,210,3,***,-17,*****
76,60.817,23.5,103.0,195901180000,180,2,***,-13,*****
77,60.817,23.5,103.0,195901180300,130,5,***,1,*****
78,60.817,23.5,103.0,195901180600,100,15,***,10,*****
79,60.817,23.5,103.0,195901180900,100,17,***,12,*****
80,60.817,23.5,103.0,195901181200,080,14,***,14,*****
81,60.817,23.5,103.0,195901181500,040,11,***,9,*****
82,60.817,23.5,103.0,195901190000,310,5,***,-8,*****
83,60.817,23.5,103.0,195901190300,320,5,***,-13,*****
84,60.817,23.5,103.0,195901190600,220,7,***,-17,*****
85,60.817,23.5,103.0,195901191200,210,6,***,5,*****
86,60.817,23.5,103.0,195901192100,220,7,***,12,*****
87,60.817,23.5,103.0,195901200000,200,3,***,9,*****
88,60.817,23.5,103.0,195901200900,070,11,***,12,*****
89,60.817,23.5,103.0,195901201200,070,14,***,12,*****
90,60.817,23.5,103.0,195901201500,070,17,***,7,*****
91,60.817,23.5,103.0,195901211200,110,15,***,21,*****
92,60.817,23.5,103.0,195901211500,220,15,***,34,*****
93,60.817,23.5,103.0,195901211800,210,14,***,36,*****
94,60.817,23.5,103.0,195901220900,***,0,***,18,*****
95,60.817,23.5,103.0,195901222100,070,7,***,18,*****
96,60.817,23.5,103.0,195901240000,180,11,***,30,*****
97,60.817,23.5,103.0,195901240300,240,13,***,30,*****
98,60.817,23.5,103.0,195901240900,140,7,***,28,*****
99,60.817,23.5,103.0,195901241200,160,11,***,30,*****
100,60.817,23.5,103.0,195901241500,130,10,***,30,*****
101,60.817,23.5,103.0,195901241800,100,7,***,30,*****
102,60.817,23.5,103.0,195901242100,050,10,***,30,*****
103,60.817,23.5,103.0,195901250900,340,23,***,16,*****
104,60.817,23.5,103.0,195901251200,350,26,***,14,*****
105,60.817,23.5,103.0,195901251500,350,21,***,9,*****
106,60.817,23.5,103.0,195901260000,340,18,***,9,*****
107,60.817,23.5,103.0,195901260300,350,18,***,9,*****
108,60.817,23.5,103.0,195901261200,270,3,***,9,*****
109,60.817,23.5,103.0,195901261500,230,7,***,10,*****
110,60.817,23.5,103.0,195901271500,250,5,***,25,*****
111,60.817,23.5,103.0,195901281500,250,6,***,30,*****
112,60.817,23.5,103.0,195901281800,270,7,***,28,*****
113,60.817,23.5,103.0,195901291200,010,2,***,27,*****
114,60.817,23.5,103.0,195901292100,200,7,***,18,*****
