,Lat,Lon,Ele,YR--MODAHRMN,DIR,SPD,GUS,TEMP,ALT
0,60.255,25.043,17.4,191801010600,270,14,***,30,*****
1,60.255,25.043,17.4,191801011300,270,14,***,28,*****
2,60.255,25.043,17.4,191801012000,290,14,***,26,*****
3,60.255,25.043,17.4,191801020600,270,7,***,21,*****
4,60.255,25.043,17.4,191801021300,020,9,***,17,*****
5,60.255,25.043,17.4,191801022000,020,14,***,16,*****
6,60.255,25.043,17.4,191801030600,360,19,***,15,*****
7,60.255,25.043,17.4,191801031300,320,22,***,9,*****
8,60.255,25.043,17.4,191801032000,290,22,***,4,*****
9,60.255,25.043,17.4,191801040600,320,18,***,2,*****
10,60.255,25.043,17.4,191801041300,340,11,***,0,*****
11,60.255,25.043,17.4,191801042000,320,5,***,-3,*****
12,60.255,25.043,17.4,191801050600,020,9,***,1,*****
13,60.255,25.043,17.4,191801051300,200,14,***,15,*****
14,60.255,25.043,17.4,191801052000,200,19,***,22,*****
15,60.255,25.043,17.4,191801060600,290,22,***,22,*****
16,60.255,25.043,17.4,191801061300,340,18,***,5,*****
17,60.255,25.043,17.4,191801062000,320,9,***,-4,*****
18,60.255,25.043,17.4,191801070600,020,7,***,-10,*****
19,60.255,25.043,17.4,191801071300,020,11,***,-8,*****
20,60.255,25.043,17.4,191801072000,070,14,***,1,*****
21,60.255,25.043,17.4,191801080600,070,22,***,4,*****
22,60.255,25.043,17.4,191801081300,070,19,***,6,*****
23,60.255,25.043,17.4,191801082000,050,19,***,1,*****
24,60.255,25.043,17.4,191801090600,020,9,***,-2,*****
25,60.255,25.043,17.4,191801091300,320,11,***,-4,*****
26,60.255,25.043,17.4,191801092000,340,9,***,-12,*****
27,60.255,25.043,17.4,191801100600,090,2,***,-22,*****
28,60.255,25.043,17.4,191801101300,230,16,***,18,*****
29,60.255,25.043,17.4,191801102000,230,19,***,23,*****
30,60.255,25.043,17.4,191801110600,180,18,***,19,*****
31,60.255,25.043,17.4,191801111300,070,18,***,16,*****
32,60.255,25.043,17.4,191801112000,050,18,***,6,*****
33,60.255,25.043,17.4,191801120600,020,9,***,5,*****
34,60.255,25.043,17.4,191801121300,340,7,***,1,*****
35,60.255,25.043,17.4,191801122000,320,5,***,-4,*****
36,60.255,25.043,17.4,191801130600,320,5,***,-5,*****
37,60.255,25.043,17.4,191801131300,320,2,***,-3,*****
38,60.255,25.043,17.4,191801132000,050,5,***,-9,*****
39,60.255,25.043,17.4,191801140600,050,5,***,-6,*****
40,60.255,25.043,17.4,191801141300,050,5,***,-1,*****
41,60.255,25.043,17.4,191801142000,200,7,***,0,*****
42,60.255,25.043,17.4,191801150600,230,16,***,22,*****
43,60.255,25.043,17.4,191801151300,200,26,***,22,*****
44,60.255,25.043,17.4,191801152000,180,16,***,20,*****
45,60.255,25.043,17.4,191801160600,050,9,***,20,*****
46,60.255,25.043,17.4,191801161300,320,18,***,11,*****
47,60.255,25.043,17.4,191801162000,320,9,***,4,*****
48,60.255,25.043,17.4,191801170600,050,5,***,1,*****
49,60.255,25.043,17.4,191801171300,050,5,***,6,*****
50,60.255,25.043,17.4,191801172000,050,7,***,6,*****
51,60.255,25.043,17.4,191801180600,070,2,***,5,*****
52,60.255,25.043,17.4,191801181300,090,7,***,14,*****
53,60.255,25.043,17.4,191801182000,200,11,***,26,*****
54,60.255,25.043,17.4,191801190600,140,14,***,23,*****
55,60.255,25.043,17.4,191801191300,270,16,***,26,*****
56,60.255,25.043,17.4,191801192000,290,24,***,22,*****
57,60.255,25.043,17.4,191801200600,250,7,***,17,*****
58,60.255,25.043,17.4,191801201300,270,2,***,19,*****
59,60.255,25.043,17.4,191801202000,160,16,***,26,*****
60,60.255,25.043,17.4,191801210600,200,9,***,35,*****
61,60.255,25.043,17.4,191801211300,200,9,***,35,*****
62,60.255,25.043,17.4,191801212000,180,9,***,35,*****
63,60.255,25.043,17.4,191801220600,230,9,***,34,*****
64,60.255,25.043,17.4,191801221300,230,9,***,34,*****
