,Lat,Lon,Ele,YR--MODAHRMN,DIR,SPD,GUS,TEMP,ALT
0,60.255,25.043,17.4,193601010600,090,2,***,36,*****
1,60.255,25.043,17.4,193601011200,140,10,***,36,*****
2,60.255,25.043,17.4,193601011800,180,10,***,37,*****
3,60.255,25.043,17.4,193601020600,180,10,***,37,*****
4,60.255,25.043,17.4,193601021200,180,6,***,36,*****
5,60.255,25.043,17.4,193601021800,200,10,***,36,*****
6,60.255,25.043,17.4,193601030600,180,6,***,37,*****
7,60.255,25.043,17.4,193601031200,090,10,***,36,*****
8,60.255,25.043,17.4,193601031800,110,15,***,36,*****
9,60.255,25.043,17.4,193601040600,180,15,***,37,*****
10,60.255,25.043,17.4,193601041200,180,10,***,37,*****
11,60.255,25.043,17.4,193601041800,200,10,***,37,*****
12,60.255,25.043,17.4,193601050600,270,43,***,30,*****
13,60.255,25.043,17.4,193601051200,250,6,***,30,*****
14,60.255,25.043,17.4,193601051800,320,2,***,28,*****
15,60.255,25.043,17.4,193601060600,290,10,***,21,*****
16,60.255,25.043,17.4,193601061200,250,15,***,28,*****
17,60.255,25.043,17.4,193601061800,250,10,***,28,*****
18,60.255,25.043,17.4,193601070600,020,6,***,21,*****
19,60.255,25.043,17.4,193601071200,050,15,***,25,*****
20,60.255,25.043,17.4,193601071800,020,21,***,25,*****
21,60.255,25.043,17.4,193601080600,020,21,***,25,*****
22,60.255,25.043,17.4,193601081200,020,15,***,21,*****
23,60.255,25.043,17.4,193601081800,020,15,***,21,*****
24,60.255,25.043,17.4,193601090600,020,10,***,21,*****
25,60.255,25.043,17.4,193601091200,070,10,***,23,*****
26,60.255,25.043,17.4,193601091800,070,10,***,27,*****
27,60.255,25.043,17.4,193601100600,140,15,***,32,*****
28,60.255,25.043,17.4,193601101200,110,15,***,32,*****
29,60.255,25.043,17.4,193601101800,110,21,***,32,*****
30,60.255,25.043,17.4,193601110600,140,15,***,34,*****
31,60.255,25.043,17.4,193601111200,140,10,***,36,*****
32,60.255,25.043,17.4,193601111800,180,15,***,36,*****
33,60.255,25.043,17.4,193601120600,250,6,***,36,*****
34,60.255,25.043,17.4,193601121800,200,10,***,36,*****
35,60.255,25.043,17.4,193601130600,***,***,***,28,*****
36,60.255,25.043,17.4,193601131200,180,6,***,21,*****
37,60.255,25.043,17.4,193601131800,160,15,***,32,*****
38,60.255,25.043,17.4,193601140600,090,10,***,32,*****
