,Lat,Lon,Ele,YR--MODAHRMN,DIR,SPD,GUS,TEMP,ALT
0,60.255,25.043,17.4,193501010600,200,15,***,34,*****
1,60.255,25.043,17.4,193501011800,200,15,***,36,*****
2,60.255,25.043,17.4,193501020600,020,21,***,34,*****
3,60.255,25.043,17.4,193501021800,020,28,***,25,*****
4,60.255,25.043,17.4,193501030600,050,10,***,12,*****
5,60.255,25.043,17.4,193501031800,070,10,***,16,*****
6,60.255,25.043,17.4,193501040600,180,34,***,18,*****
7,60.255,25.043,17.4,193501041800,160,28,***,16,*****
8,60.255,25.043,17.4,193501050600,140,21,***,14,*****
9,60.255,25.043,17.4,193501051800,110,34,***,12,*****
10,60.255,25.043,17.4,193501060600,110,21,***,14,*****
11,60.255,25.043,17.4,193501061800,140,6,***,14,*****
12,60.255,25.043,17.4,193501070600,160,10,***,14,*****
13,60.255,25.043,17.4,193501071800,320,6,***,12,*****
14,60.255,25.043,17.4,193501080600,270,10,***,18,*****
15,60.255,25.043,17.4,193501081800,230,6,***,23,*****
16,60.255,25.043,17.4,193501090600,250,10,***,27,*****
17,60.255,25.043,17.4,193501091800,200,6,***,28,*****
18,60.255,25.043,17.4,193501100600,200,10,***,23,*****
19,60.255,25.043,17.4,193501101800,200,15,***,21,*****
20,60.255,25.043,17.4,193501110600,200,28,***,25,*****
21,60.255,25.043,17.4,193501111800,200,28,***,27,*****
22,60.255,25.043,17.4,193501120600,200,28,***,28,*****
23,60.255,25.043,17.4,193501121800,160,10,***,21,*****
24,60.255,25.043,17.4,193501130600,180,6,***,21,*****
25,60.255,25.043,17.4,193501131800,200,10,***,28,*****
26,60.255,25.043,17.4,193501140600,160,10,***,30,*****
27,60.255,25.043,17.4,193501141800,200,10,***,28,*****
28,60.255,25.043,17.4,193501150600,200,6,***,28,*****
29,60.255,25.043,17.4,193501151800,140,6,***,30,*****
30,60.255,25.043,17.4,193501160600,250,28,***,30,*****
31,60.255,25.043,17.4,193501161800,110,10,***,28,*****
32,60.255,25.043,17.4,193501170600,070,6,***,25,*****
33,60.255,25.043,17.4,193501171800,360,6,***,21,*****
34,60.255,25.043,17.4,193501180600,250,10,***,30,*****
35,60.255,25.043,17.4,193501181800,290,10,***,34,*****
36,60.255,25.043,17.4,193501190600,290,6,***,30,*****
37,60.255,25.043,17.4,193501191800,290,10,***,30,*****
38,60.255,25.043,17.4,193501200600,250,28,***,36,*****
39,60.255,25.043,17.4,193501201800,340,21,***,30,*****
40,60.255,25.043,17.4,193501210600,290,10,***,23,*****
41,60.255,25.043,17.4,193501211800,250,21,***,32,*****
42,60.255,25.043,17.4,193501220600,270,15,***,28,*****
43,60.255,25.043,17.4,193501221800,200,10,***,32,*****
44,60.255,25.043,17.4,193501230600,230,10,***,34,*****
45,60.255,25.043,17.4,193501231800,250,10,***,34,*****
46,60.255,25.043,17.4,193501240600,290,21,***,30,*****
47,60.255,25.043,17.4,193501241800,290,21,***,25,*****
