,Lat,Lon,Ele,YR--MODAHRMN,DIR,SPD,GUS,TEMP,ALT
0,60.255,25.043,17.4,194108011200,160,10,***,75,*****
1,60.255,25.043,17.4,194108011800,200,6,***,73,*****
2,60.255,25.043,17.4,194108021200,320,10,***,79,*****
3,60.255,25.043,17.4,194108021800,270,6,***,75,*****
4,60.255,25.043,17.4,194108031200,230,21,***,82,*****
5,60.255,25.043,17.4,194108031800,200,15,***,73,*****
6,60.255,25.043,17.4,194108041200,340,10,***,68,*****
7,60.255,25.043,17.4,194108041800,360,2,***,70,*****
8,60.255,25.043,17.4,194108051200,090,10,***,70,*****
9,60.255,25.043,17.4,194108051800,090,15,***,66,*****
10,60.255,25.043,17.4,194108061200,200,10,***,70,*****
11,60.255,25.043,17.4,194108061800,180,6,***,64,*****
12,60.255,25.043,17.4,194108071200,140,10,***,66,*****
13,60.255,25.043,17.4,194108071800,200,6,***,64,*****
14,60.255,25.043,17.4,194108081200,320,6,***,64,*****
15,60.255,25.043,17.4,194108081800,320,6,***,61,*****
16,60.255,25.043,17.4,194108091200,270,15,***,55,*****
17,60.255,25.043,17.4,194108091800,250,15,***,54,*****
18,60.255,25.043,17.4,194108101200,250,15,***,64,*****
19,60.255,25.043,17.4,194108101800,230,15,***,61,*****
20,60.255,25.043,17.4,194108111200,090,6,***,61,*****
21,60.255,25.043,17.4,194108111800,140,6,***,61,*****
22,60.255,25.043,17.4,194108121200,140,2,***,66,*****
23,60.255,25.043,17.4,194108121800,090,6,***,63,*****
24,60.255,25.043,17.4,194108131200,110,15,***,72,*****
25,60.255,25.043,17.4,194108131800,090,15,***,66,*****
26,60.255,25.043,17.4,194108141200,200,10,***,57,*****
27,60.255,25.043,17.4,194108141800,140,10,***,61,*****
28,60.255,25.043,17.4,194108151200,200,15,***,64,*****
29,60.255,25.043,17.4,194108151800,230,10,***,63,*****
30,60.255,25.043,17.4,194108161200,250,15,***,70,*****
31,60.255,25.043,17.4,194108161800,200,15,***,64,*****
32,60.255,25.043,17.4,194108171200,090,10,***,72,*****
33,60.255,25.043,17.4,194108171800,090,10,***,70,*****
34,60.255,25.043,17.4,194108181200,250,15,***,66,*****
35,60.255,25.043,17.4,194108181800,230,10,***,64,*****
36,60.255,25.043,17.4,194108191200,200,15,***,68,*****
37,60.255,25.043,17.4,194108191800,180,6,***,66,*****
38,60.255,25.043,17.4,194108201200,250,10,***,70,*****
39,60.255,25.043,17.4,194108201800,250,10,***,63,*****
40,60.255,25.043,17.4,194108211200,***,0,***,68,*****
41,60.255,25.043,17.4,194108211800,***,0,***,63,*****
42,60.255,25.043,17.4,194108221200,160,21,***,59,*****
43,60.255,25.043,17.4,194108221800,180,21,***,59,*****
44,60.255,25.043,17.4,194108231200,200,21,***,63,*****
45,60.255,25.043,17.4,194108231800,180,10,***,59,*****
46,60.255,25.043,17.4,194108241200,140,10,***,59,*****
47,60.255,25.043,17.4,194108241800,140,10,***,57,*****
48,60.255,25.043,17.4,194108251200,290,10,***,64,*****
49,60.255,25.043,17.4,194108251800,360,2,***,59,*****
50,60.255,25.043,17.4,194108261200,320,15,***,55,*****
51,60.255,25.043,17.4,194108261800,290,15,***,55,*****
52,60.255,25.043,17.4,194108271200,290,10,***,59,*****
53,60.255,25.043,17.4,194108271800,290,2,***,55,*****
54,60.255,25.043,17.4,194108281200,320,10,***,55,*****
55,60.255,25.043,17.4,194108281800,360,6,***,54,*****
56,60.255,25.043,17.4,194108291200,200,10,***,61,*****
57,60.255,25.043,17.4,194108291800,***,0,***,57,*****
58,60.255,25.043,17.4,194108301200,110,6,***,59,*****
59,60.255,25.043,17.4,194108301800,140,10,***,55,*****
60,60.255,25.043,17.4,194108311200,200,6,***,63,*****
61,60.255,25.043,17.4,194108311800,340,10,***,57,*****
62,60.255,25.043,17.4,194109011200,360,15,***,48,*****
63,60.255,25.043,17.4,194109011800,360,10,***,48,*****
64,60.255,25.043,17.4,194109021200,360,10,***,55,*****
65,60.255,25.043,17.4,194109021800,070,2,***,55,*****
66,60.255,25.043,17.4,194109031200,140,10,***,54,*****
67,60.255,25.043,17.4,194109031800,070,10,***,48,*****
68,60.255,25.043,17.4,194109041200,320,6,***,59,*****
69,60.255,25.043,17.4,194109041800,200,15,***,54,*****
70,60.255,25.043,17.4,194109051200,270,15,***,55,*****
71,60.255,25.043,17.4,194109051800,270,15,***,52,*****
72,60.255,25.043,17.4,194109061200,270,21,***,54,*****
73,60.255,25.043,17.4,194109061800,270,21,***,52,*****
74,60.255,25.043,17.4,194109071200,250,15,***,54,*****
75,60.255,25.043,17.4,194109071800,250,10,***,48,*****
76,60.255,25.043,17.4,194109081200,270,6,***,54,*****
77,60.255,25.043,17.4,194109081800,***,0,***,52,*****
78,60.255,25.043,17.4,194109091200,340,10,***,52,*****
79,60.255,25.043,17.4,194109091800,340,6,***,50,*****
80,60.255,25.043,17.4,194109101200,200,10,***,54,*****
81,60.255,25.043,17.4,194109101800,160,2,***,54,*****
82,60.255,25.043,17.4,194109111200,140,15,***,57,*****
83,60.255,25.043,17.4,194109111800,160,15,***,50,*****
84,60.255,25.043,17.4,194109121200,070,21,***,59,*****
85,60.255,25.043,17.4,194109121800,070,15,***,57,*****
86,60.255,25.043,17.4,194109131200,020,10,***,52,*****
87,60.255,25.043,17.4,194109131800,020,10,***,52,*****
