,Lat,Lon,Ele,YR--MODAHRMN,DIR,SPD,GUS,TEMP,ALT
0,60.717,28.733,13.0,196501010600,160,5,***,30,*****
1,60.717,28.733,13.0,196501010900,140,2,***,30,*****
2,60.717,28.733,13.0,196501011500,140,5,***,28,*****
3,60.717,28.733,13.0,196501011800,140,5,***,28,*****
4,60.717,28.733,13.0,196501012100,180,5,***,34,*****
5,60.717,28.733,13.0,196501020000,180,14,***,34,*****
6,60.717,28.733,13.0,196501020300,200,11,***,34,*****
7,60.717,28.733,13.0,196501020900,200,18,***,34,*****
8,60.717,28.733,13.0,196501021200,230,18,***,34,*****
9,60.717,28.733,13.0,196501021500,230,7,***,34,*****
10,60.717,28.733,13.0,196501021800,230,16,***,34,*****
11,60.717,28.733,13.0,196501030000,230,5,***,32,*****
12,60.717,28.733,13.0,196501030300,230,5,***,32,*****
13,60.717,28.733,13.0,196501030600,250,9,***,32,*****
14,60.717,28.733,13.0,196501030900,250,7,***,32,*****
15,60.717,28.733,13.0,196501031200,270,2,***,32,*****
16,60.717,28.733,13.0,196501031500,270,5,***,30,*****
17,60.717,28.733,13.0,196501031800,270,2,***,30,*****
18,60.717,28.733,13.0,196501032100,250,2,***,30,*****
19,60.717,28.733,13.0,196501040000,270,7,***,30,*****
20,60.717,28.733,13.0,196501040300,270,5,***,30,*****
21,60.717,28.733,13.0,196501040900,230,7,***,28,*****
22,60.717,28.733,13.0,196501041200,230,7,***,28,*****
23,60.717,28.733,13.0,196501041500,230,11,***,28,*****
24,60.717,28.733,13.0,196501050000,200,18,***,30,*****
25,60.717,28.733,13.0,196501050600,140,18,***,27,*****
26,60.717,28.733,13.0,196501050900,140,16,***,25,*****
27,60.717,28.733,13.0,196501051200,110,16,***,25,*****
28,60.717,28.733,13.0,196501051500,090,11,***,25,*****
29,60.717,28.733,13.0,196501052100,070,11,***,25,*****
30,60.717,28.733,13.0,196501060000,050,7,***,25,*****
31,60.717,28.733,13.0,196501060300,050,7,***,25,*****
32,60.717,28.733,13.0,196501061200,050,7,***,23,*****
33,60.717,28.733,13.0,196501061500,360,16,***,19,*****
34,60.717,28.733,13.0,196501061800,090,14,***,14,*****
35,60.717,28.733,13.0,196501062100,020,7,***,9,*****
36,60.717,28.733,13.0,196501070000,020,11,***,9,*****
37,60.717,28.733,13.0,196501070300,050,11,***,7,*****
38,60.717,28.733,13.0,196501070600,360,9,***,9,*****
39,60.717,28.733,13.0,196501070900,360,9,***,7,*****
40,60.717,28.733,13.0,196501071200,320,7,***,9,*****
41,60.717,28.733,13.0,196501071500,320,5,***,12,*****
42,60.717,28.733,13.0,196501072100,140,11,***,12,*****
43,60.717,28.733,13.0,196501080000,160,22,***,18,*****
44,60.717,28.733,13.0,196501080300,140,18,***,21,*****
45,60.717,28.733,13.0,196501080600,140,9,***,23,*****
46,60.717,28.733,13.0,196501080900,050,7,***,19,*****
47,60.717,28.733,13.0,196501081200,360,5,***,18,*****
48,60.717,28.733,13.0,196501081500,360,7,***,14,*****
49,60.717,28.733,13.0,196501081800,360,11,***,3,*****
50,60.717,28.733,13.0,196501082100,360,14,***,1,*****
51,60.717,28.733,13.0,196501090000,050,22,***,0,*****
52,60.717,28.733,13.0,196501090600,050,16,***,-2,*****
53,60.717,28.733,13.0,196501090900,050,18,***,-2,*****
54,60.717,28.733,13.0,196501091200,020,16,***,0,*****
55,60.717,28.733,13.0,196501091500,360,7,***,0,*****
56,60.717,28.733,13.0,196501091800,340,11,***,1,*****
57,60.717,28.733,13.0,196501092100,360,11,***,7,*****
58,60.717,28.733,13.0,196501100000,340,9,***,7,*****
59,60.717,28.733,13.0,196501100300,340,11,***,3,*****
60,60.717,28.733,13.0,196501101200,340,11,***,9,*****
61,60.717,28.733,13.0,196501101800,360,11,***,9,*****
62,60.717,28.733,13.0,196501110000,020,7,***,7,*****
63,60.717,28.733,13.0,196501110300,020,9,***,3,*****
64,60.717,28.733,13.0,196501110600,020,9,***,1,*****
65,60.717,28.733,13.0,196501111200,360,2,***,1,*****
66,60.717,28.733,13.0,196501111500,***,0,***,1,*****
67,60.717,28.733,13.0,196501112100,140,11,***,5,*****
68,60.717,28.733,13.0,196501120000,160,14,***,10,*****
69,60.717,28.733,13.0,196501120300,140,9,***,18,*****
70,60.717,28.733,13.0,196501120600,180,14,***,19,*****
71,60.717,28.733,13.0,196501121500,230,31,***,30,*****
72,60.717,28.733,13.0,196501122100,230,36,***,32,*****
73,60.717,28.733,13.0,196501130600,180,11,***,28,*****
74,60.717,28.733,13.0,196501131200,180,14,***,25,*****
75,60.717,28.733,13.0,196501131500,180,19,***,27,*****
76,60.717,28.733,13.0,196501131800,230,19,***,27,*****
77,60.717,28.733,13.0,196501132100,180,19,***,27,*****
78,60.717,28.733,13.0,196501140300,200,22,***,32,*****
79,60.717,28.733,13.0,196501140900,230,26,***,36,*****
80,60.717,28.733,13.0,196501141200,230,26,***,34,*****
81,60.717,28.733,13.0,196501141500,230,22,***,32,*****
82,60.717,28.733,13.0,196501141800,200,19,***,30,*****
83,60.717,28.733,13.0,196501142100,210,19,***,28,*****
84,60.717,28.733,13.0,196501150600,180,26,***,28,*****
85,60.717,28.733,13.0,196501151500,200,2,***,34,*****
86,60.717,28.733,13.0,196501151800,230,26,***,36,*****
87,60.717,28.733,13.0,196501160000,230,26,***,34,*****
88,60.717,28.733,13.0,196501160300,230,26,***,34,*****
89,60.717,28.733,13.0,196501160600,230,18,***,34,*****
90,60.717,28.733,13.0,196501160900,200,22,***,34,*****
91,60.717,28.733,13.0,196501161200,200,19,***,32,*****
92,60.717,28.733,13.0,196501161500,180,16,***,32,*****
93,60.717,28.733,13.0,196501161800,180,18,***,36,*****
94,60.717,28.733,13.0,196501162100,200,22,***,32,*****
95,60.717,28.733,13.0,196501170000,200,26,***,30,*****
96,60.717,28.733,13.0,196501170300,200,26,***,32,*****
97,60.717,28.733,13.0,196501170600,180,26,***,32,*****
98,60.717,28.733,13.0,196501170900,160,22,***,28,*****
99,60.717,28.733,13.0,196501171200,160,11,***,27,*****
100,60.717,28.733,13.0,196501171500,160,14,***,28,*****
101,60.717,28.733,13.0,196501171800,140,18,***,28,*****
102,60.717,28.733,13.0,196501172100,160,22,***,28,*****
103,60.717,28.733,13.0,196501180300,200,26,***,32,*****
104,60.717,28.733,13.0,196501180600,160,26,***,32,*****
105,60.717,28.733,13.0,196501180900,180,18,***,32,*****
106,60.717,28.733,13.0,196501181200,180,22,***,32,*****
107,60.717,28.733,13.0,196501181500,180,16,***,34,*****
108,60.717,28.733,13.0,196501182100,180,14,***,34,*****
109,60.717,28.733,13.0,196501190000,230,19,***,34,*****
110,60.717,28.733,13.0,196501190300,180,11,***,34,*****
111,60.717,28.733,13.0,196501190600,180,9,***,32,*****
112,60.717,28.733,13.0,196501190900,160,11,***,34,*****
113,60.717,28.733,13.0,196501191200,160,9,***,34,*****
114,60.717,28.733,13.0,196501191500,140,9,***,34,*****
115,60.717,28.733,13.0,196501191800,140,5,***,34,*****
116,60.717,28.733,13.0,196501200000,140,5,***,32,*****
117,60.717,28.733,13.0,196501200300,140,7,***,30,*****
118,60.717,28.733,13.0,196501200600,140,11,***,27,*****
119,60.717,28.733,13.0,196501200900,110,7,***,21,*****
120,60.717,28.733,13.0,196501201200,110,7,***,21,*****
121,60.717,28.733,13.0,196501201500,110,7,***,19,*****
122,60.717,28.733,13.0,196501201800,110,7,***,16,*****
123,60.717,28.733,13.0,196501202100,090,5,***,14,*****
124,60.717,28.733,13.0,196501210000,090,5,***,12,*****
125,60.717,28.733,13.0,196501210300,050,7,***,14,*****
126,60.717,28.733,13.0,196501210600,050,7,***,18,*****
127,60.717,28.733,13.0,196501210900,090,14,***,25,*****
128,60.717,28.733,13.0,196501211200,090,16,***,28,*****
129,60.717,28.733,13.0,196501211500,090,11,***,27,*****
130,60.717,28.733,13.0,196501211800,090,7,***,27,*****
131,60.717,28.733,13.0,196501212100,090,5,***,27,*****
132,60.717,28.733,13.0,196501220300,140,11,***,23,*****
133,60.717,28.733,13.0,196501220600,110,14,***,23,*****
134,60.717,28.733,13.0,196501220900,110,14,***,25,*****
135,60.717,28.733,13.0,196501221800,110,11,***,25,*****
136,60.717,28.733,13.0,196501222100,140,11,***,25,*****
137,60.717,28.733,13.0,196501230000,110,11,***,25,*****
138,60.717,28.733,13.0,196501230600,140,5,***,27,*****
139,60.717,28.733,13.0,196501230900,110,5,***,27,*****
140,60.717,28.733,13.0,196501231200,110,5,***,27,*****
141,60.717,28.733,13.0,196501231800,140,5,***,27,*****
142,60.717,28.733,13.0,196501240000,200,2,***,30,*****
143,60.717,28.733,13.0,196501240300,200,2,***,30,*****
144,60.717,28.733,13.0,196501240600,200,2,***,30,*****
145,60.717,28.733,13.0,196501240900,180,2,***,30,*****
146,60.717,28.733,13.0,196501241200,180,2,***,32,*****
147,60.717,28.733,13.0,196501241500,***,0,***,30,*****
