,Lat,Lon,Ele,YR--MODAHRMN,DIR,SPD,GUS,TEMP,ALT
0,60.255,25.043,17.4,192301010600,140,7,***,34,*****
1,60.255,25.043,17.4,192301011300,230,11,***,33,*****
2,60.255,25.043,17.4,192301012000,230,11,***,35,*****
3,60.255,25.043,17.4,192301020600,250,14,***,35,*****
4,60.255,25.043,17.4,192301021300,230,11,***,34,*****
5,60.255,25.043,17.4,192301022000,230,9,***,35,*****
6,60.255,25.043,17.4,192301030600,230,7,***,35,*****
7,60.255,25.043,17.4,192301031300,200,11,***,35,*****
8,60.255,25.043,17.4,192301032000,230,14,***,33,*****
9,60.255,25.043,17.4,192301040600,200,11,***,33,*****
10,60.255,25.043,17.4,192301041300,230,11,***,35,*****
11,60.255,25.043,17.4,192301042000,230,11,***,34,*****
12,60.255,25.043,17.4,192301050600,230,9,***,34,*****
13,60.255,25.043,17.4,192301051300,250,9,***,33,*****
14,60.255,25.043,17.4,192301052000,250,7,***,34,*****
15,60.255,25.043,17.4,192301060600,200,5,***,34,*****
16,60.255,25.043,17.4,192301061300,180,7,***,33,*****
17,60.255,25.043,17.4,192301062000,180,7,***,31,*****
18,60.255,25.043,17.4,192301070600,180,7,***,29,*****
19,60.255,25.043,17.4,192301071300,180,7,***,29,*****
20,60.255,25.043,17.4,192301072000,200,7,***,29,*****
21,60.255,25.043,17.4,192301080600,200,7,***,31,*****
22,60.255,25.043,17.4,192301081300,160,9,***,32,*****
23,60.255,25.043,17.4,192301082000,230,11,***,34,*****
24,60.255,25.043,17.4,192301090600,200,18,***,33,*****
25,60.255,25.043,17.4,192301091300,230,18,***,34,*****
26,60.255,25.043,17.4,192301092000,230,9,***,35,*****
27,60.255,25.043,17.4,192301100600,230,11,***,34,*****
28,60.255,25.043,17.4,192301101300,200,11,***,33,*****
29,60.255,25.043,17.4,192301102000,230,9,***,33,*****
30,60.255,25.043,17.4,192301110600,200,11,***,34,*****
31,60.255,25.043,17.4,192301111300,200,9,***,34,*****
32,60.255,25.043,17.4,192301112000,200,9,***,33,*****
33,60.255,25.043,17.4,192301120600,180,14,***,35,*****
34,60.255,25.043,17.4,192301121300,200,11,***,35,*****
35,60.255,25.043,17.4,192301122000,180,14,***,33,*****
36,60.255,25.043,17.4,192301130600,230,9,***,34,*****
37,60.255,25.043,17.4,192301131300,270,7,***,33,*****
38,60.255,25.043,17.4,192301132000,320,9,***,30,*****
39,60.255,25.043,17.4,192301140600,250,2,***,24,*****
40,60.255,25.043,17.4,192301141300,230,11,***,31,*****
41,60.255,25.043,17.4,192301142000,230,14,***,32,*****
42,60.255,25.043,17.4,192301150600,180,19,***,31,*****
43,60.255,25.043,17.4,192301151300,180,16,***,28,*****
44,60.255,25.043,17.4,192301152000,140,11,***,28,*****
45,60.255,25.043,17.4,192301160600,110,11,***,27,*****
46,60.255,25.043,17.4,192301161300,050,11,***,26,*****
47,60.255,25.043,17.4,192301162000,070,11,***,23,*****
48,60.255,25.043,17.4,192301170600,090,9,***,23,*****
49,60.255,25.043,17.4,192301171300,070,9,***,20,*****
50,60.255,25.043,17.4,192301172000,070,9,***,19,*****
51,60.255,25.043,17.4,192301180600,070,11,***,19,*****
52,60.255,25.043,17.4,192301181300,050,7,***,19,*****
53,60.255,25.043,17.4,192301182000,070,7,***,19,*****
54,60.255,25.043,17.4,192301190600,090,7,***,21,*****
55,60.255,25.043,17.4,192301191300,230,7,***,24,*****
56,60.255,25.043,17.4,192301192000,200,14,***,25,*****
57,60.255,25.043,17.4,192301200600,180,19,***,29,*****
58,60.255,25.043,17.4,192301201300,180,22,***,28,*****
59,60.255,25.043,17.4,192301202000,200,18,***,29,*****
60,60.255,25.043,17.4,192301210600,200,16,***,32,*****
61,60.255,25.043,17.4,192301211300,250,9,***,34,*****
62,60.255,25.043,17.4,192301212000,230,7,***,30,*****
63,60.255,25.043,17.4,192301220600,230,22,***,32,*****
64,60.255,25.043,17.4,192301221300,290,7,***,34,*****
65,60.255,25.043,17.4,192301222000,270,9,***,26,*****
66,60.255,25.043,17.4,192301230600,270,9,***,25,*****
67,60.255,25.043,17.4,192301231300,320,16,***,28,*****
68,60.255,25.043,17.4,192301232000,320,14,***,21,*****
69,60.255,25.043,17.4,192301240600,230,9,***,29,*****
70,60.255,25.043,17.4,192301241300,180,11,***,30,*****
71,60.255,25.043,17.4,192301242000,290,7,***,30,*****
72,60.255,25.043,17.4,192301250600,270,9,***,26,*****
73,60.255,25.043,17.4,192301251300,290,14,***,33,*****
74,60.255,25.043,17.4,192301252000,230,14,***,35,*****
75,60.255,25.043,17.4,192301260600,270,9,***,36,*****
76,60.255,25.043,17.4,192301261300,270,14,***,34,*****
77,60.255,25.043,17.4,192301262000,320,18,***,30,*****
78,60.255,25.043,17.4,192301270600,290,16,***,29,*****
