999999-03147,+35.267,-117.433,+0864.1,19630701,19701231
367730-99999,+45.850,+078.717,+0412.0,19590102,19900715
999999-03148,+32.883,-112.717,+0261.5,19680903,19701230
037960-99999,+51.133,+001.350,+0117.0,19730308,20170522
403700-99999,+27.350,+045.017,+0244.0,20161105,20161105
997468-99999,+43.600,-034.600,+0003.0,20051015,20120902
413600-99999,+14.750,+042.967,+0115.0,19830101,20141002
653300-99999,+09.350,+002.617,+0393.0,19730101,20170522
643810-99999,-01.677,+029.259,+1549.0,19850506,20170522
763610-99999,+25.800,-109.117,+0017.0,19730101,19750630
997351-99999,+26.120,-081.800,+0010.0,20050322,20170522
722305-99999,+29.120,-089.200,+0080.0,19870122,19881109
171240-99999,+39.784,+030.582,+0786.7,19500101,20170522
977480-99999,-03.800,+130.833,+0003.0,19830201,20170522
780850-99999,+24.250,-077.650,+0002.0,19730101,19781030
725776-99999,+43.600,-110.733,+1966.0,19730101,20051231
710445-99999,+48.367,-089.333,+0198.0,20040831,20050912
036740-99999,+51.683,-000.533,+0139.0,19921001,20010414
893710-99999,-67.367,-179.967,+0030.0,19900501,19991208
997803-99999,+46.783,-091.383,+0186.0,20070105,20170522
036090-99999,+51.567,-003.983,+0032.0,19730104,20170522
949010-99999,-36.100,+147.033,+0182.0,19641231,20170521
604653-99999,+35.525,+002.879,+0649.8,20160209,20160209
917580-99999,-13.817,-171.983,+0018.0,19940601,20010102
575760-99999,+29.333,+112.417,+0031.0,19570601,19580731
725717-99999,+39.533,-107.733,+1690.0,19870609,20051231
846285-99999,-12.150,-077.000,+0078.0,20030924,20030924
286290-99999,+54.900,+056.950,+0119.0,19740820,19940207
975000-99999,-00.867,+131.267,+0027.0,19490106,19531121
092810-99999,+53.600,+013.317,+0071.0,19910421,19911027
956620-99999,-32.850,+135.150,+0166.0,19980301,20170522
948720-99999,-37.867,+145.333,+0561.0,19941001,20170522
701719-99999,+66.888,-157.162,+0060.0,19850208,20111231
239210-99999,+60.683,+060.450,+0095.0,19480101,20170522
635000-99999,+06.039,+037.590,+1189.0,19870301,20170522
999999-03969,+32.215,-098.178,+0402.6,19831101,19831231
382010-99999,+43.800,+069.200,+0481.0,19600804,20150419
744680-99999,+38.833,-085.417,+0265.0,19920221,19950531
484305-99999,+14.417,+101.533,+0610.0,19730101,19750430
249590-99999,+62.017,+129.717,+0101.0,19311231,20170522
938310-99999,-45.017,+168.733,+0358.0,19950606,20170522
431680-99999,+16.750,+078.000,+0505.0,20090205,20170522
027290-99999,+61.883,+025.333,+0205.0,20090701,20110804
726556-14992,+44.548,-095.080,+0311.2,20000101,20170523
727469-94992,+47.747,-090.344,+0185.9,20060101,20170523
940030-99999,-09.067,+143.200,+0004.0,19910301,19990612
034920-99999,+52.676,+001.283,+0035.7,19871202,20170522
